,artist,album,track
1031,Lostboycrow,Santa Fe,Orange Juice
1032,Dua Lipa,Future Nostalgia,Break My Heart
1033,The Beatles,The Beatles,I Will - Remastered 2009
1034,Still Woozy,Lately EP,Lava
1035,THE DRIVER ERA,Preacher Man,Preacher Man
1036,Miguel,Rogue Waves,waves - Tame Impala Remix
1037,Lauv,Drugs & The Internet,Drugs & The Internet
1038,Hayden James,Just Friends,Just Friends
1039,Rex Orange County,Pony,Stressed Out
1040,George Ezra,Wanted on Voyage,Budapest
1041,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",ilomilo
1042,Milky Chance,Mind The Moon,Right From Here
1043,Kendrick Lamar,DAMN.,HUMBLE.
1044,Hippie Sabotage,Providence,Devil Eyes
1045,NOTD,I Wanna Know (feat. Bea Miller),I Wanna Know (feat. Bea Miller)
1046,Post Malone,Hollywood's Bleeding,Circles
1047,Lady Gaga,Stupid Love,Stupid Love
1048,Diplo,Stay Open,Stay Open
1049,070 Shake,Modus Vivendi,Under The Moon
1050,Rihanna,Good Girl Gone Bad: Reloaded,Disturbia
1051,The Beatles,Magical Mystery Tour,"Hello, Goodbye - Remastered 2009"
1052,Elton John,Caribou,Don't Let The Sun Go Down On Me
1053,Imagine Dragons,Origins,Natural
1054,Yung Gravy,Yung Gravity - EP,Forget Me Thots
1055,AJR,Bang!,Bang!
1056,Of Monsters and Men,My Head Is An Animal,Mountain Sound
1057,Judah & the Lion,Going To Mars (!),Going To Mars (!)
1058,Doja Cat,Amala,Go To Town
1059,Marc E. Bassy,Gossip Columns,You & Me
1060,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne)","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix"
1061,Blue October,Foiled,Into The Ocean
1062,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Talk Of The Town
1063,Lake Street Dive,Fun Machine EP,Rich Girl
1064,Troye Sivan,Bloom,The Good Side
1065,Tyla Yaweh,High Right Now (feat. Wiz Khalifa),High Right Now (feat. Wiz Khalifa) - Remix
1066,"Tyler, The Creator",Flower Boy,Boredom (feat. Rex Orange County & Anna of the North)
1067,Franz Ferdinand,Franz Ferdinand,Take Me Out
1068,Labrinth,Euphoria (Original Score from the HBO Series),Formula
1069,Jon Bellion,The Human Condition,All Time Low
1070,99 Neighbors,Fuck No (feat. Brasstracks & PhiloSofie),Fuck No (feat. Brasstracks & PhiloSofie)
1071,Zara Larsson,So Good,Lush Life
1072,Martin Garrix,In the Name of Love,In the Name of Love
1073,Kacey Musgraves,Golden Hour,Butterflies
1074,Galantis,Pharmacy,Peanut Butter Jelly
1075,Still Woozy,Window,Window
1076,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",you should see me in a crown
1077,fun.,Some Nights,Some Nights
1078,Bob Moses,Days Gone By,Tearing Me Up
1079,Sugar Ray,Surf's Up Music From The Motion Picture,Into Yesterday
1080,Elton John,Diamonds,Bennie And The Jets - Remastered
1081,Milky Chance,Mind The Moon,The Game
1082,Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh)
1083,Lemaitre,Chapter One,Playing To Lose
1084,Kacey Musgraves,Golden Hour,Happy & Sad
1085,Noname,Telefone,"Shadow Man (feat. Phoelix, Smino & Saba)"
1086,Travis Scott,Rodeo (Expanded Edition),Antidote
1087,Ava Max,Sweet but Psycho,Sweet but Psycho
1088,Lady Gaga,A Star Is Born Soundtrack,Why Did You Do That?
1089,Kanye West,The Life Of Pablo,Waves
1090,Milky Chance,Blossom,Alive
1091,Quinn XCII,The Story of Us,Candle
1092,Huron John,Friendzone,Friendzone
1093,BENEE,FIRE ON MARZZ,Glitter
1094,Beach House,Bloom,Lazuli
1095,Doja Cat,Hot Pink,Say So
1096,Labrinth,Euphoria (Original Score from the HBO Series),Nate Growing Up
1097,Drax Project,Drax Project,Woke Up Late (feat. Hailee Steinfeld)
1098,Rex Orange County,Pony,It Gets Better
1099,John Mayer,Battle Studies,Heartbreak Warfare
1100,The Head and the Heart,Living Mirage,Missed Connection
1101,Calvin Harris,Funk Wav Bounces Vol.1,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
1102,Kid Quill,The Name Above the Title,Daily Routine
1103,The Weeknd,Black Panther The Album Music From And Inspired By,Pray For Me (with Kendrick Lamar)
1104,"Tyler, The Creator",IGOR,EARFQUAKE
1105,88rising,Head In The Clouds,Midsummer Madness
1106,Louis The Child,Love Is Alive,Slow Down Love
1107,Reaper,heady,HEADY
1108,AJR,The Click,Weak
1109,Robinson,Medicine,Medicine
1110,Blu DeTiger,Figure It Out,Figure It Out
1111,Carlie Hanson,Only One,Only One
1112,Brenton Wood,"Love, Simon (Original Motion Picture Soundtrack)",The Oogum Boogum Song
1113,Dua Lipa,Don't Start Now,Don't Start Now
1114,Electric Guest,Dollar,Dollar - 20syl Remix
1115,Miley Cyrus,Malibu (The Remixes),Malibu - Tiësto Remix
1116,Fountains Of Wayne,Welcome Interstate Managers,Stacy's Mom
1117,Baio,The Names,Sister of Pearl
1118,Louis The Child,Love Is Alive,Go
1119,Chance the Rapper,My Own Thing,My Own Thing
1120,BANKS,III,Gimme
1121,RL Grime,NOVA,Light Me Up
1122,Quinn XCII,The Story of Us,What The Hell Happened To Us
1123,The Lumineers,C-Sides,Scotland
1124,Ariana Grande,Sweetener,better off
1125,Kid Cudi,Man On The Moon: The End Of Day,Pursuit Of Happiness (Nightmare)
1126,Coldplay,A Head Full of Dreams,Everglow
1127,Lennon Stella,Three. Two. One.,Goodnight
1128,Billy Joel,The Essential Billy Joel,My Life
1129,Whethan,When I'm Down,When I'm Down
1130,Eagles,Hell Freezes Over,"New York Minute - Live On MTV, 1994"
1131,Billie Eilish,bitches broken hearts,bitches broken hearts
1132,The Beatles,Rubber Soul,Michelle - Remastered 2009
1133,Michael Giacchino,Up,Married Life
1134,Eddie Vedder,Into The Wild,Guaranteed
1135,Blues Traveler,Four,Run-Around
1136,Outerskies,In the Moment,In the Moment
1137,The Lumineers,Cleopatra,Sleep On The Floor
1138,DVBBS,Pyramids (feat. Sanjin),Pyramids (feat. Sanjin) - Radio Mix
1139,Post Malone,beerbongs & bentleys,Better Now
1140,Alexander 23,I'm Sorry I Love You,20 Something
1141,Louis The Child,Kids At Play - EP,The City (feat. Quinn XCII) - Party Pupils Remix
1142,Jon Bellion,The Human Condition,Overwhelming
1143,Khalid,American Teen,Another Sad Love Song
1144,Pitbull,Pitbull Starring In Rebelution,Hotel Room Service
1145,Ingrid Michaelson,Be OK,You and I
1146,Jonas Brothers,What A Man Gotta Do,What A Man Gotta Do
1147,Unk,Beat'n Down Yo Block,2 Step
1148,Lady Gaga,Joanne,Million Reasons
1149,Lorde,Melodrama,Sober
1150,Elton John,Caribou,The Bitch Is Back
1151,Brandi Carlile,The Story & Cover Stories,The Story
1152,The Chainsmokers,Sick Boy,Hope
1153,Miike Snow,Miike Snow,Animal
1154,Anna Shoemaker,If You're Going (I'll Go),If You're Going (I'll Go)
1155,Mac Miller,GO:OD AM,Weekend (feat. Miguel)
1156,John Legend,La La Land,Start A Fire
1157,Paul McCartney,Wingspan,Maybe I'm Amazed
1158,GRACEY,Empty Love (ft. Ruel),Empty Love (ft. Ruel)
1159,Of Monsters and Men,My Head Is An Animal,Dirty Paws
1160,Surfaces,Horizons,Take It Easy
1161,Pink Floyd,Wish You Were Here,Wish You Were Here
1162,Still Woozy,Lately EP,Foolsong
1163,Whethan,"Life of a Wallflower, Vol. 1",Be Like You (feat. Broods)
1164,AJR,The Click,Sober Up
1165,Eddie Vedder,Into The Wild,Society
1166,Foster The People,Pick U Up,Style
1167,Rex Orange County,Best Friend,Best Friend
1168,COIN,How Will You Know If You Never Try,Talk Too Much
1169,Passion Pit,Manners,Sleepyhead
1170,Rex Orange County,Pony,Never Had The Balls
1171,MØ,When I Was Young - EP,When I Was Young
1172,Of Monsters and Men,My Head Is An Animal,Your Bones
1173,Bazzi,Soul Searching,Conversations with Myself
1174,Pink Floyd,Wish You Were Here,Shine On You Crazy Diamond (Pts. 1-5)
1175,Coleman Hell,Coleman Hell - EP,2 Heads
1176,Coldplay,A Rush of Blood to the Head,The Scientist
1177,Coldplay,X&Y,Speed of Sound
1178,Jon Bellion,The Separation,Eyes To The Sky
1179,Leach,Roman Candles,Little Taste of Heaven
1180,Aquilo,ii,Now & Here
1181,Bazzi,Soul Searching,Soul Searching
1182,Calvin Harris,Funk Wav Bounces Vol.1,Rollin (feat. Future & Khalid)
1183,Macklemore,GEMINI,Glorious (feat. Skylar Grey)
1184,Glass Animals,Dreamland,Space Ghost Coast To Coast
1185,Hailee Steinfeld,Most Girls,Most Girls
1186,Khalid,American Teen,Saved
1187,Migos,Culture II,Stir Fry
1188,Frank Ocean,Blonde,Godspeed
1189,WATTS,Feels,Feels
1190,Rex Orange County,Pony,Face to Face
1191,Depeche Mode,Enjoy the Silence,Enjoy the Silence - Single Mix
1192,Twenty One Pilots,Trench,Chlorine
1193,BØRNS,Dopamine,"10,000 Emerald Pools"
1194,Martin Garrix,Ocean (feat. Khalid),Ocean (feat. Khalid)
1195,MKTO,How Can I Forget,How Can I Forget
1196,Lennon Stella,"Love, me",Bad
1197,MØ,Forever Neverland,Blur
1198,Harris Cole,Game over!,Game over!
1199,Eagles,The Very Best of the Eagles,I Can't Tell You Why - 2013 Remaster
1200,Taylor Swift,Lover,ME! (feat. Brendon Urie of Panic! At The Disco)
1201,T.I.,Paper Trail,Live Your Life
1202,Two Door Cinema Club,Changing of the Seasons,Changing of the Seasons
1203,Vampire Weekend,Father of the Bride,Sunflower (feat. Steve Lacy)
1204,Lights,Skin&Earth,Giants
1205,Drake,Scorpion,Nonstop
1206,Quinn XCII,Two 10s,Two 10s
1207,Elton John,Honky Chateau,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
1208,America,America's Greatest Hits - History,Sister Golden Hair
1209,The Verve,Urban Hymns,Bitter Sweet Symphony
1210,Life of Dillon,MIA,MIA
1211,Elton John,Goodbye Yellow Brick Road,Candle In The Wind - Remastered 2014
1212,Mumford & Sons,Wilder Mind,Tompkins Square Park
1213,Labrinth,Imagination & the Misfit Kid,Juju Woman
1214,Two Door Cinema Club,False Alarm,Talk - Single Edit
1215,Jeremy Zucker,Breathe,You Should Get to Know Me (feat. Quinn XCII)
1216,Zara Larsson,So Good,Ain't My Fault
1217,Khalid,American Teen,Location
1218,The Lumineers,The Lumineers,Big Parade
1219,JP Saxe,If the World Was Ending,If the World Was Ending - feat. Julia Michaels
1220,Alexander 23,I'm Sorry I Love You,Girl
1221,The Lumineers,Cleopatra,Angela
1222,Ookay,Thief,Thief
1223,Young the Giant,Home of the Strange,Something to Believe In
1224,Souly Had,B.L.I.S.S.,Crush
1225,Bazzi,Soul Searching,I.F.L.Y.
1226,"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis)
1227,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",listen before i go
1228,Ed Sheeran,The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack),I See Fire
1229,Demi Lovato,Tell Me You Love Me,Tell Me You Love Me
1230,Dua Lipa,Future Nostalgia,Cool
1231,The Revivalists,Men Amongst Mountains,Wish I Knew You
1232,FINNEAS,Blood Harmony,I Don't Miss You at All
1233,America,America's Greatest Hits - History,Ventura Highway
1234,Milky Chance,Sadnecessary,Flashed Junk Mind
1235,KAMAUU,TheKAMAUU-CASSETTE: ŭRTH GōLD,LăVĭNDŭR
1236,Miko,Crushes,Crushes
1237,Bastille,Bad Blood,Oblivion
1238,Billie Eilish,No Time To Die,No Time To Die
1239,Troye Sivan,Bloom,Seventeen
1240,Hoodie Allen,Happy Camper,Champagne and Pools (feat. Blackbear & Kyle)
1241,Quinn XCII,The Story of Us,Walls
1242,Taylor Swift,reputation,I Did Something Bad
1243,Louis The Child,Last To Leave (feat. Caroline Ailin),Last To Leave (feat. Caroline Ailin)
1244,Rex Orange County,Sunflower,Sunflower
1245,Blevins,As I'm Fading Into You,As I'm Fading Into You
1246,Vance Joy,Nation of Two,I'm with You
1247,Doja Cat,Boss Bitch,Boss Bitch
1248,Diplo,Color Blind,Color Blind
1249,Red Hot Chili Peppers,Greatest Hits,Otherside
1250,Post Malone,beerbongs & bentleys,Zack And Codeine
1251,Kodaline,In A Perfect World,All Comes Down
1252,Peach Tree Rascals,Mango,Mango
1253,Cheat Codes,Only You,Only You
1254,Jason Mraz,Waiting for My Rocket to Come,The Remedy (I Won't Worry)
1255,Queen,The Platinum Collection,Under Pressure - Remastered 2011 / New Master
1256,Maroon 5,Overexposed,The Man Who Never Lied
1257,Theophilus London,Vibes,Can't Stop (feat. Kanye West)
1258,Coldplay,Parachutes,Sparks
1259,The xx,xx,Intro
1260,Taylor Swift,folklore,the 1
1261,M.I.A.,Kala,Paper Planes
1262,Charli XCX,Blame It on Your Love,Blame It on Your Love (feat. Lizzo)
1263,Miniature Tigers,Tell It to the Volcano,Like or Like Like
1264,The Kooks,Inside In / Inside Out,Naive
1265,Tre Breezy,The Motion,The Motion
1266,Ben Rector,Magic,I Will Always Be Yours
1267,Łaszewo,Up in Flames,Up in Flames
1268,Two Feet,Had Some Drinks,Had Some Drinks
1269,Shawn Mendes,Shawn Mendes,Lost In Japan
1270,DREAMERS,This Album Does Not Exist,Sweet Disaster
1271,Billie Eilish,WHEN I WAS OLDER,WHEN I WAS OLDER - Music Inspired By The Film ROMA
1272,Taylor Swift,folklore,peace
1273,alt-J,This Is All Yours,Left Hand Free
1274,ILLENIUM,Awake,Beautiful Creatures (feat. MAX)
1275,Louis The Child,OWSLA Worldwide Broadcast,From Here
1276,Coldplay,Orphans / Arabesque,Orphans
1277,Hippo Campus,Landmark,Simple Season
1278,Pentatonix,A Pentatonix Christmas Deluxe,Hallelujah
1279,Troye Sivan,Bloom,What A Heavenly Way To Die
1280,The Shins,"Oh, Inverted World",New Slang
1281,Ty Dolla $ign,Blasé (feat. Future & Rae Sremmurd),Blasé (feat. Future & Rae Sremmurd) - Louis the Child Remix
1282,Steve Aoki,Pretender (feat. Lil Yachty & AJR),Pretender (feat. Lil Yachty & AJR)
1283,Dr. Dog,B-Room,Nellie
1284,Quinn XCII,The Story of Us,60 Seconds
1285,Post Malone,Hollywood's Bleeding,I'm Gonna Be
1286,Dua Lipa,Dua Lipa,Last Dance
1287,ODIE,Analogue,Bliss City
1288,Louis The Child,Better Not,Better Not (feat. Wafia) - KRANE Remix
1289,ABBA,ABBA Gold,Lay All Your Love On Me
1290,Lostboycrow,Where It All Goes,Where It All Goes
1291,TheGifted,Restless,Restless
1292,Post Malone,beerbongs & bentleys,Rich & Sad
1293,Ariana Grande,Yours Truly,Tattooed Heart
1294,Young the Giant,Mirrorball / Mind Over Matter (Reprise),Mind Over Matter
1295,Wild Child,The Runaround,Crazy Bird
1296,Lil Dicky,Professional Rapper,Molly (feat. Brendon Urie of Panic at the Disco)
1297,Claire Rosinkranz,BeVerly Hills BoYfRiEnd,Backyard Boy
1298,Wings,Wings Greatest,Band On The Run - Remastered 1993
1299,Khalid,Eleven,Eleven
1300,Imagine Dragons,Origins,Bad Liar
1301,The Lumineers,Cleopatra,Cleopatra
1302,Ingrid Michaelson,Be OK,Keep Breathing
1303,Louis The Child,Here For Now,Big Love (with EARTHGANG)
1304,HERO,ROT IN PIECES,ROT IN PIECES
1305,Smash Mouth,Smash Mouth,I'm A Believer - Radio Edit
1306,ayokay,In the Shape of a Dream,Queen (feat. Quinn XCII)
1307,Khalid,Free Spirit,Better
1308,Kanye West,ye,All Mine
1309,RL Grime,NOVA,Take It Away
1310,Queen,Jazz,Don't Stop Me Now - 2011 Mix
1311,Mumford & Sons,Wilder Mind,Believe
1312,Rascal Flatts,Me And My Gang,Life is a Highway
1313,John Legend,Love In The Future (Expanded Edition),All of Me
1314,Adam Jensen,Marijuana Breath,Marijuana Breath
1315,Kid Cudi,Man On The Moon: The End Of Day,Up Up & Away
1316,The Weeknd,Starboy,Love To Lay
1317,Ruth B.,Safe Haven,Dandelions
1318,Ariana Grande,Sweetener,no tears left to cry
1319,Kim Petras,Heart to Break,Heart to Break
1320,Carlie Hanson,Toxins,Toxins
1321,Passion Pit,Church,I Found U
1322,Alec Benjamin,Narrated For You,Outrunning Karma
1323,John Mayer,Continuum,Stop This Train
1324,Bastille,All This Bad Blood,Poet
1325,Matt Maeson,Who Killed Matt Maeson,Tribulation
1326,Fergie,Music From Baz Luhrmann's Film The Great Gatsby,A Little Party Never Killed Nobody (All We Got)
1327,Imagine Dragons,Evolve,Thunder
1328,half•alive,"Now, Not Yet",Maybe
1329,Phony Ppl,Yesterday's Tomorrow,Why iii Love The Moon.
1330,Harry Styles,Fine Line,Adore You
1331,Selena Gomez,Rare,A Sweeter Place (feat. Kid Cudi)
1332,Big Wild,Superdream,Purple Sand (My Home)
1333,Milky Chance,Mind The Moon,Oh Mama
1334,Olivia Rodrigo,All I Want,"All I Want - From ""High School Musical: The Musical: The Series"""
1335,Empire of the Sun,Walking On A Dream,Walking On A Dream
1336,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",all the good girls go to hell
1337,GRiZ,Bangers[2].Zip,Griztronics
1338,Adele,19,Make You Feel My Love
1339,Simon & Garfunkel,Bridge Over Troubled Water,Cecilia
1340,Post Malone,Hollywood's Bleeding,Hollywood's Bleeding
1341,Khalid,"Love, Simon (Original Motion Picture Soundtrack)",Love Lies
1342,Coldplay,X&Y,Fix You
1343,Cage The Elephant,Melophobia,Come a Little Closer
1344,Ellie Goulding,Close To Me (feat. Swae Lee),Close To Me (with Diplo) (feat. Swae Lee)
1345,Eagles,Hotel California,The Last Resort - 2013 Remaster
1346,Labrinth,Imagination & the Misfit Kid,Sexy MF
1347,Jon Bellion,The Human Condition,Woke The F*ck Up
1348,Bruno Mars,Doo-Wops & Hooligans,Grenade
1349,Twenty One Pilots,Vessel,Holding on to You
1350,Kygo,Think About You,Think About You - Galantis Remix
1351,Sublime,Jah Won't Pay The Bills,Badfish
1352,Fleetwood Mac,Rumours,The Chain - 2004 Remaster
1353,Quinn XCII,From Michigan With Love,Right Where You Should Be (feat. Ashe & Louis Futon)
1354,Fitz and The Tantrums,Fitz and The Tantrums,Fool
1355,Two Door Cinema Club,Tourist History,Undercover Martyn
1356,Red Hearse,Red Hearse,Red Hearse
1357,Quinn XCII,Iron & Steel,Iron & Steel
1358,Florence + The Machine,Lungs,Dog Days Are Over
1359,Marc E. Bassy,PMD,Just My Luck
1360,Jon Bellion,Glory Sound Prep,The Internet
1361,Kodak Black,Dying to Live,ZEZE (feat. Travis Scott & Offset)
1362,Dominic Fike,"Don't Forget About Me, Demos",3 Nights
1363,Kanye West,My Beautiful Dark Twisted Fantasy,Runaway
1364,Lorde,Pure Heroine,A World Alone
1365,Sigala,Brighter Days,We Don't Care
1366,Sigrid,Sucker Punch,Sucker Punch
1367,OneRepublic,Native,Counting Stars
1368,Kacey Musgraves,Golden Hour,Slow Burn
1369,Andromedik,With Me,With Me
1370,Absofacto,Thousand Peaces,Dissolve
1371,The Lumineers,Pete's Dragon,Nobody Knows
1372,Jake Zimma,On Like 40,On Like 40
1373,Post Malone,beerbongs & bentleys,92 Explorer
1374,Tow'rs,New Nostalgia,Pink Confetti
1375,Snakehips,Don't Leave (Remixes),Don't Leave - Throttle Remix
1376,Lennon Stella,Kissing Other People,Kissing Other People
1377,Graham Riley,Rain,Rain
1378,Halsey,Without Me,Without Me
1379,Glass Animals,Your Love (Déjà Vu),Your Love (Déjà Vu)
1380,I'm From Barcelona,Forever Today,Always Spring
1381,Bazzi,COSMIC,Beautiful
1382,AJR,Neotheater,Don't Throw Out My Legos
1383,Eagles,Hotel California,Hotel California - 2013 Remaster
1384,Jon Bellion,Glory Sound Prep,Blu
1385,Louis The Child,Here For Now,We All Have Dreams (with K.Flay)
1386,Daryl Hall & John Oates,The Very Best of Daryl Hall / John Oates,You Make My Dreams (Come True) - Remastered
1387,half•alive,"Now, Not Yet",RUNAWAY
1388,Years & Years,Communion,Shine
1389,AJR,The Click,Burn The House Down
1390,MAGIC GIANT,In The Wind,Window
1391,Joji,Sanctuary,Sanctuary
1392,Coldplay,A Head Full of Dreams,Hymn for the Weekend
1393,Edward Sharpe & The Magnetic Zeros,Up from Below,Janglin
1394,Disclosure,Caracal,Omen
1395,The Head and the Heart,Let's Be Still,Shake
1396,Jon Bellion,The Definition,Carry Your Throne
1397,Dennis Kruissen,Falling In Love,Falling In Love
1398,"Earth, Wind & Fire",Greatest Hits,September
1399,Gnavis,12.22.02 Vol. 1,Underwater.
1400,Duke Dumont,Red Light Green Light,Red Light Green Light
1401,Coldplay,A Head Full of Dreams,Adventure of a Lifetime
1402,Kygo,Cloud Nine,Fragile
1403,Bad Suns,Disappear Here,Violet
1404,ODIE,Analogue,Story
1405,Two Door Cinema Club,Winter,Something Good Can Work
1406,MØ,Sun In Our Eyes,Sun In Our Eyes
1407,John Legend,DARKNESS AND LIGHT,Love Me Now
1408,graves,Easy (feat. joni payne),Easy
1409,Khalid,Free Spirit,Talk (feat. Disclosure)
1410,Snoop Dogg,Mac and Devin Go to High School (Music from and Inspired by the Movie),"Young, Wild & Free (feat. Bruno Mars)"
1411,Aquilo,ii,Thin
1412,Snow Patrol,Greatest Hits,Just Say Yes
1413,The Beatles,Abbey Road,Here Comes The Sun - Remastered 2009
1414,Kehlani,You Should Be Here,The Way (feat. Chance the Rapper)
1415,Panic! At The Disco,Pray for the Wicked,Say Amen (Saturday Night)
1416,Disclosure,Caracal,Magnets
1417,Dua Lipa,Dua Lipa,No Goodbyes
1418,dwilly,ADD,ADD
1419,Vance Joy,Dream Your Life Away,Mess Is Mine
1420,Hudson Thames,Lip Tricks,How I Want Ya
1421,The Mowgli's,Waiting For The Dawn,San Francisco
1422,Dominic Fike,What Could Possibly Go Wrong,10x Stronger
1423,Thirteen Senses,The Invitation,Into The Fire
1424,Sia,This Is Acting (Deluxe Version),Cheap Thrills
1425,The Boyboy West Coast,U Was At The Club (Bottoms Up),U Was At The Club (Bottoms Up)
1426,RL Grime,NOVA,I Wanna Know
1427,Bright Eyes,"I'm Wide Awake, It's Morning",First Day Of My Life
1428,Quinn XCII,Change of Scenery,FFYL
1429,Glass Animals,Heat Waves,Heat Waves
1430,Kygo,Cloud Nine,Stole the Show
1431,Cage The Elephant,Tell Me I'm Pretty,Trouble
1432,Rex Orange County,New House,New House
1433,fun.,Some Nights,Carry On
1434,Calvin Harris,Funk Wav Bounces Vol.1,Slide (feat. Frank Ocean & Migos)
1435,Major Lazer,Major Lazer Essentials,Know No Better
1436,RL Grime,NOVA,Atoms - Said the Sky Remix
1437,Dua Lipa,Dua Lipa,Hotter Than Hell
1438,Lukas Graham,Lukas Graham,7 Years
1439,Flosstradamus,Soundclash,Soundclash
1440,U2,Songs Of Innocence,Every Breaking Wave
1441,Red Hot Chili Peppers,Greatest Hits,Under the Bridge
1442,Grouplove,Wadjda,Tongue Tied
1443,Jess Glynne,I Cry When I Laugh,Hold My Hand
1444,Bruno Mars,Unorthodox Jukebox,Locked out of Heaven
1445,half•alive,"Now, Not Yet",Pure Gold
1446,Rita Ora,Phoenix,New Look
1447,Louis The Child,Weekend,Weekend
1448,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Lucy In The Sky With Diamonds - Remastered 2009
1449,MisterWives,Our Own House,Imagination Infatuation
1450,Vince Staples,Big Fish Theory,Party People
1451,Childish Gambino,This Is America,This Is America
1452,Disclosure,Settle (The Remixes),You & Me - Flume Remix
1453,Mac Miller,Circles,Good News
1454,Young the Giant,Young The Giant,Cough Syrup
1455,Bruno Mars,Doo-Wops & Hooligans,Marry You
1456,The Lumineers,Cleopatra,In The Light
1457,Flume,Skin: The Remixes,Say It - Illenium Remix
1458,Mumford & Sons,Wilder Mind,Wilder Mind
1459,Beyoncé,Lemonade,Hold Up
1460,John Mayer,Battle Studies,Who Says
1461,Eagles,The Very Best of the Eagles,Take It to the Limit - 2013 Remaster
1462,Post Malone,Hollywood's Bleeding,A Thousand Bad Times
1463,asking for a friend,I See A Bird,I See A Bird
1464,The Griswolds,Be Impressive,Beware The Dog
1465,Whethan,Savage (feat. Flux Pavilion & MAX),Savage (feat. Flux Pavilion & MAX)
1466,Elton John,Too Low For Zero,I'm Still Standing
1467,Billie Eilish,dont smile at me,my boy
1468,Glass Animals,How To Be A Human Being,Take A Slice
1469,HARBOUR,Heatwave,Get You High
1470,Khalid,Free Spirit,Hundred
1471,Eagles,The Very Best of the Eagles,Witchy Woman - 2013 Remaster
1472,Zhavia Ward,Candlelight,Candlelight
1473,Kygo,Stargazing - EP,This Town (feat. Sasha Sloan)
1474,The Wallflowers,Bringing Down The Horse,One Headlight
1475,Quinn XCII,The Story of Us,Tourist
1476,alt-J,An Awesome Wave,Tessellate
1477,Jack Johnson,On And On,Taylor
1478,American Authors,Seasons,Deep Water
1479,The Head and the Heart,The Head and the Heart,Rivers and Roads
1480,Marshmello,Happier,Happier
1481,The Vamps,Meet The Vamps,Wild Heart
1482,Alec Benjamin,Oh My God,Oh My God
1483,Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty)
1484,The Lumineers,The Lumineers,Stubborn Love
1485,Troye Sivan,Blue Neighbourhood,EASE
1486,Panic! At The Disco,Pray for the Wicked,High Hopes
1487,Theresa Rex,Wild Ones,Wild Ones
1488,Maroon 5,V,Maps
1489,Glass Animals,How To Be A Human Being,Season 2 Episode 3
1490,Still Woozy,Habit,Habit
1491,Wallows,Nothing Happens,Are You Bored Yet? (feat. Clairo)
1492,Tame Impala,Currents,The Less I Know The Better
1493,Jack Johnson,Brushfire Fairytales,Flake
1494,ODESZA,A Moment Apart,Falls (feat. Sasha Sloan)
1495,Yung Gravy,Snow Cougar,1 Thot 2 Thot Red Thot Blue Thot
1496,BANNERS,Empires On Fire,Someone To You
1497,Why Don't We,Unbelievable,Unbelievable
1498,ZAYN,Icarus Falls,Good Years
1499,Sugar Ray,14:59,Every Morning
1500,Electric Light Orchestra,All Over The World: The Very Best Of ELO,Mr. Blue Sky
1501,Whethan,Win You Over,Win You Over
1502,The Fray,The Fray,You Found Me
1503,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)"
1504,Sigrid,Raw,High Five
1505,Labrinth,Euphoria (Original Score from the HBO Series),Forever
1506,Still Woozy,Lately EP,Habit
1507,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa)
1508,Galantis,Pharmacy,Runaway (U & I)
1509,Panic! At The Disco,A Fever You Can't Sweat Out,I Write Sins Not Tragedies
1510,Beyoncé,I AM...SASHA FIERCE,Halo
1511,Hippo Campus,warm glow,baseball
1512,Clean Bandit,I Cry When I Laugh,Rather Be (feat. Jess Glynne)
1513,Ingrid Michaelson,Be OK,You And I
1514,Surfaces,Heaven Falls / Fall on Me,Heaven Falls / Fall on Me
1515,BabyJake,Cigarettes On Patios,Cigarettes On Patios
1516,Ella Eyre,Ella Eyre,We Don't Have To Take Our Clothes Off
1517,AJR,Neotheater,Break My Face
1518,Chance the Rapper,Coloring Book,All Night (feat. Knox Fortune)
1519,Kodaline,Politics of Living,Brother
1520,Jonas Brothers,Happiness Begins,Cool
1521,Julieta Venegas,Limon Y Sal,Limón y Sal
1522,Mumford & Sons,Babel,Hopeless Wanderer
1523,Bazzi,COSMIC,Mine
1524,Gorillaz,Demon Days,Feel Good Inc.
1525,Hippo Campus,Landmark,Boyish
1526,Cold War Kids,LA DIVINE,Love Is Mystical
1527,Rence,Baby Blue,Baby Blue
